Altitude (m),Pressure (Pa),Temperature (K)
1.185000e+04,1.577185e+04,2.166500e+02
1.190000e+04,1.564900e+04,2.166500e+02
1.195000e+04,1.552712e+04,2.166500e+02
1.200000e+04,1.540619e+04,2.166500e+02
1.205000e+04,1.528620e+04,2.166500e+02
1.210000e+04,1.516716e+04,2.166500e+02
1.215000e+04,1.504904e+04,2.166500e+02
1.220000e+04,1.493185e+04,2.166500e+02
1.225000e+04,1.481557e+04,2.166500e+02
1.230000e+04,1.470020e+04,2.166500e+02
1.235000e+04,1.458574e+04,2.166500e+02
1.240000e+04,1.447217e+04,2.166500e+02
1.245000e+04,1.435949e+04,2.166500e+02
1.250000e+04,1.424768e+04,2.166500e+02
1.255000e+04,1.413676e+04,2.166500e+02
1.260000e+04,1.402670e+04,2.166500e+02
1.265000e+04,1.391749e+04,2.166500e+02
1.270000e+04,1.380915e+04,2.166500e+02
1.275000e+04,1.370165e+04,2.166500e+02
1.280000e+04,1.359499e+04,2.166500e+02
1.285000e+04,1.348916e+04,2.166500e+02
1.290000e+04,1.338416e+04,2.166500e+02
1.295000e+04,1.327998e+04,2.166500e+02
1.300000e+04,1.317662e+04,2.166500e+02
1.305000e+04,1.307406e+04,2.166500e+02
1.310000e+04,1.297231e+04,2.166500e+02
1.315000e+04,1.287135e+04,2.166500e+02
1.320000e+04,1.277118e+04,2.166500e+02
1.325000e+04,1.267179e+04,2.166500e+02
1.330000e+04,1.257317e+04,2.166500e+02
1.335000e+04,1.247533e+04,2.166500e+02
1.340000e+04,1.237826e+04,2.166500e+02
1.345000e+04,1.228194e+04,2.166500e+02
1.350000e+04,1.218637e+04,2.166500e+02
1.355000e+04,1.209155e+04,2.166500e+02
1.360000e+04,1.199747e+04,2.166500e+02
1.365000e+04,1.190413e+04,2.166500e+02
1.370000e+04,1.181151e+04,2.166500e+02
1.375000e+04,1.171962e+04,2.166500e+02
1.380000e+04,1.162845e+04,2.166500e+02
1.385000e+04,1.153798e+04,2.166500e+02
1.390000e+04,1.144823e+04,2.166500e+02
1.395000e+04,1.135917e+04,2.166500e+02
1.400000e+04,1.127082e+04,2.166500e+02
1.405000e+04,1.118315e+04,2.166500e+02
1.410000e+04,1.109616e+04,2.166500e+02
1.415000e+04,1.100986e+04,2.166500e+02
1.420000e+04,1.092423e+04,2.166500e+02
1.425000e+04,1.083927e+04,2.166500e+02
1.430000e+04,1.075497e+04,2.166500e+02
1.435000e+04,1.067133e+04,2.166500e+02
1.440000e+04,1.058834e+04,2.166500e+02
1.445000e+04,1.050600e+04,2.166500e+02
1.450000e+04,1.042430e+04,2.166500e+02
1.455000e+04,1.034324e+04,2.166500e+02
1.460000e+04,1.026282e+04,2.166500e+02
1.465000e+04,1.018302e+04,2.166500e+02
1.470000e+04,1.010384e+04,2.166500e+02
1.475000e+04,1.002529e+04,2.166500e+02
1.480000e+04,9.947342e+03,2.166500e+02
1.485000e+04,9.870006e+03,2.166500e+02
1.490000e+04,9.793274e+03,2.166500e+02
1.495000e+04,9.717141e+03,2.166500e+02
1.500000e+04,9.641602e+03,2.166500e+02
1.505000e+04,9.566653e+03,2.166500e+02
1.510000e+04,9.492289e+03,2.166500e+02
1.515000e+04,9.418505e+03,2.166500e+02
1.520000e+04,9.345297e+03,2.166500e+02
1.525000e+04,9.272660e+03,2.166500e+02
1.530000e+04,9.200590e+03,2.166500e+02
1.535000e+04,9.129082e+03,2.166500e+02
1.540000e+04,9.058132e+03,2.166500e+02
1.545000e+04,8.987736e+03,2.166500e+02
1.550000e+04,8.917889e+03,2.166500e+02
1.555000e+04,8.848587e+03,2.166500e+02
1.560000e+04,8.779826e+03,2.166500e+02
1.565000e+04,8.711601e+03,2.166500e+02
1.570000e+04,8.643909e+03,2.166500e+02
1.575000e+04,8.576745e+03,2.166500e+02
1.580000e+04,8.510104e+03,2.166500e+02
1.585000e+04,8.443984e+03,2.166500e+02
1.590000e+04,8.378379e+03,2.166500e+02
1.595000e+04,8.313286e+03,2.166500e+02
1.600000e+04,8.248701e+03,2.166500e+02
1.605000e+04,8.184619e+03,2.166500e+02
1.610000e+04,8.121037e+03,2.166500e+02
1.615000e+04,8.057951e+03,2.166500e+02
1.620000e+04,7.995358e+03,2.166500e+02
1.625000e+04,7.933252e+03,2.166500e+02
1.630000e+04,7.871631e+03,2.166500e+02
1.635000e+04,7.810490e+03,2.166500e+02
1.640000e+04,7.749826e+03,2.166500e+02
1.645000e+04,7.689635e+03,2.166500e+02
1.650000e+04,7.629913e+03,2.166500e+02
1.655000e+04,7.570657e+03,2.166500e+02
1.660000e+04,7.511864e+03,2.166500e+02
1.665000e+04,7.453528e+03,2.166500e+02
1.670000e+04,7.395648e+03,2.166500e+02
1.675000e+04,7.338218e+03,2.166500e+02
1.680000e+04,7.281237e+03,2.166500e+02
1.685000e+04,7.224699e+03,2.166500e+02
1.690000e+04,7.168602e+03,2.166500e+02
1.695000e+04,7.112943e+03,2.166500e+02
1.700000e+04,7.057718e+03,2.166500e+02
1.705000e+04,7.002923e+03,2.166500e+02
1.710000e+04,6.948555e+03,2.166500e+02
1.715000e+04,6.894611e+03,2.166500e+02
1.720000e+04,6.841087e+03,2.166500e+02
1.725000e+04,6.787981e+03,2.166500e+02
1.730000e+04,6.735288e+03,2.166500e+02
1.735000e+04,6.683006e+03,2.166500e+02
1.740000e+04,6.631132e+03,2.166500e+02
1.745000e+04,6.579662e+03,2.166500e+02
1.750000e+04,6.528592e+03,2.166500e+02
1.755000e+04,6.477921e+03,2.166500e+02
1.760000e+04,6.427645e+03,2.166500e+02
1.765000e+04,6.377760e+03,2.166500e+02
